,sentences
3579,Does empagliflozin affect the chances of having a stroke?
3584,Lay summary 1160.186BI 1160.18614 Feb 2018 Page 1 of 7This is a summary of a clinical study in patients with a heart rhythm disorder.
3587,The simplified title for the study is: A comparison of the safety of dabigatran and warfarin when combined with other anti-blood-clotting medicines in patients with a heart rhythm disorder who had just undergone a specific procedure called percutaneous coronary intervention .
3589,"Through your participation, you helped researchers answer important questions about dabigatran."
3591,"In this study, researchers compared the safety of 2 types of medicine combinations that help to prevent blood from clotting."
3592,One of the combinations included dabigatran and the other included warfarin.
3593,These medicine combinations were given to patients with a special heart rhythm disorder called atrial fibrillation.
3594,Many patients with atrial fibrillation also have problems with their arteries becoming plugged and have a higher risk of stroke.
3595,The patients in this study had just undergone a procedure called percutaneous coronary intervention (PCI) to open up an artery of the heart that was plugged.
3596,"During the procedure, a short wire mesh tube (a stent) is moved into the place in the artery where the plug was."
3597,These patients required treatment with medicines that prevented their blood from clotting but also did not cause additional risks of serious bleeding.
3598,Researchers collected information on bleeding events and other side effects of these medicines.
3599,This study started in August 2014 and finished in June 2017.
3602,Patients with atrial fibrillation usually take anti-blood-clotting medicines regularly to prevent the risk of strokes.
3603,"Such medicines are, for example, dabigatran and warfarin."
3604,"When these patients have a PCI procedure, they need to take additional anti-blood-clotting medicines in combination with their regular medicines."
3605,These additional medicines are needed to prevent the formation of blood clots in the stent put in place during the PCI procedure.
3606,"However, additional anti-blood-clotting medicines can also increase the risk of bleeding."
3607,Doctors who treat these patients need to be able to balance the risk of stroke and blood clots with the risk of bleeding.
3608,"If the risk of bleeding could be reduced, this would be an advantage for the patients."
3609,BI 1160.18614 Feb 2018 Page 2 of 7Which medicines were studied?
3610,"Researchers studied combinations of the following 2 types of anti-blood-clotting medicines: Anticoagulant medicines, which slow down the clotting process and reduce the amount of certain proteins needed to form clots."
3611,"In this study, these included dabigatran and warfarin."
3612,"Antiplatelet medicines, which prevent small blood cells called platelets from forming clumps that are needed to form clots."
3613,"In this study, these included clopidogrel, ticagrelor, and aspirin."
3614,One combination was dabigatran and 1 antiplatelet medicine (clopidogrel or ticagrelor).
3615,This combination of 2 medicines is called dabigatran dual therapy.
3616,"The other combination waswarfarin and aspirin, plus 1 of the other antiplatelet medicines mentioned above."
3617,This combination of 3 medicines is called warfarin triple therapy.
3619,The patients in this study had a heart rhythm disorder called atrial fibrillation.
3620,They had just undergone PCI with stent placement within the past 5 days.
3621,"Overall, 2725 patients took part in the study: 2070 were men and 655 were women."
3622,"Onaverage, patients were 71 years old."
3623,The youngest patient was 29 years old and the oldest patient was 93 years old.
3624,The table below lists the regions and countries where these patients took part.
3625,"Geographical region Countries Patients Western Europe Austria, Belgium, Denmark, Finland, France, Germany, Greece, Italy, Ireland, Norway, Netherlands, Portugal, Spain, Sweden, United Kingdom1308Central Europe Bulgaria, Croatia, Czech Republic, Hungary, Poland, Russia, Slovakia, Slovenia, Turkey719Asia Hong Kong, India, Japan, Korea, Singapore, Taiwan, Thailand313North America Canada, United States 199Latin America Argentina, Brazil, Chile, Colombia, Mexico 118Other regions Australia, Israel, New Zealand 68BI 1160.18614 Feb 2018 Page 3 of 7How was this study done?"
3626,Patients were divided into groups to take either dabigatran dual therapy or warfarin triple therapy as shown in the figure below.
3627,It was decided by chance who took dabigatran dual therapy and who took warfarin triple therapy.
3628,"Patients in the dabigatran dual therapy group were assigned to a lower dose of 110 milligrams (mg) or a higher dose of 150 mg, depending on their age."
3629,The dose of warfarin was determined by each patient s blood-clotting ability.
3630,The patients in the study and the study doctors knew which medicines the patients were taking.
3631,Study medicines were started 6 hours to 5 days after the PCI with stent placement.
3632,"Patients took 1 capsule of 110 milligrams (mg) of dabigatran twice daily, 1 capsule of 150 mg dabigatran twice daily, or warfarin once daily (the dose varied by patient)."
3633,Patients also took75 mg of clopidogrel once daily or 90 mg of ticagrelor twice daily.
3634,"In the warfarin triple therapy group, patients also took aspirin once daily (the dose varied by patient)."
3635,Dabigatran and warfarin were to be continued for at least 6 months.
3636,"Clopidogrel and ticagrelor were to be continued for up to 12 months, and aspirin for up to 3 months."
3637,Researchers compared the occurrence of major or clinically relevant bleeding events in each dabigatran group compared to the warfarin group.
3638,A bleeding event was considered major if at least 1 of the following occurred: The patient required a transfusion of blood.
3641,A bleeding event was considered clinically relevant if at least 1 of the following occurred: The patient was admitted to the hospital.
3642,The patient required treatment.
3643,The study doctor considered it necessary to change the dose or to stop the study drugs.
3644,Patients with aheart rhythm disorder who just had a PCIEmergencyTreatment for at least 6 months Dabigatran dual therapy1.
3645,Anti-blood-clotting medicine: dabigatran2.
3646,Antiplatelet medicine: clopidogrel or ticagrelorWarfarin triple therapy1.
3647,Anti-blood-clotting medicine: warfarin2.
3648,Antiplatelet medicine: clopidogrel or ticagrelor3.
3649,Another antiplatelet medicine: aspirin (up to 3 months)3 to 5 days after PCI BI 1160.18614 Feb 2018 Page 4 of 7The study doctors checked carefully to see if the patients had bleeding events.
3650,"If any bleeding event occurred, the doctor measured the time from starting the medicines until the event occurred."
3651,Doctors also collected information on any other side effects.
3653,The percentage of patients with major or clinically relevant bleeding events was lower in the dabigatran dual therapy groups than in the warfarin triple therapy groups.
3654,A total of 15.4% of patients in the dabigatran 110 mg dual therapy group had bleeding events compared with 26.9% of patients in the warfarin triple therapy group.
3655,A total of 20.2% of patients in the dabigatran 150 mg dual therapy group had bleeding events compared with 25.7% of patients in the warfarin triple therapy group.
3656,The picture below shows the percentage of patients in each group who had major or clinically relevant bleeding events.
3657,15.4%26.9%20.2%25.7%Dabigatran110 mg dualtherapyWarfarintriple therapyDabigatran 150 mg dualtherapyWarfarin triple therapyPatients with Major or Clinically Relevant Bleeding EventsThis figure shows the percentage of patients with major or clinically relevant bleeding events in each treatment group.
3658,"On average, the percentage of patients with bleeding events was lower in each of the dabigatran dual therapy groups than in the warfarin triple therapy groups."
3659,"For the comparison, the only elderly patients included in these groups were from the United States."
3660,BI 1160.18614 Feb 2018 Page 5 of 7The results show that dabigatran dual therapy lowered the risk of having bleeding events compared with warfarin triple therapy (relative risk reduction of 48% in 110 mg group and of 28% in 150 mg group).
3661,Researchers used statistical tests on the results and found that they were reliable.
3663,"In addition to the important bleeding events described above, all other side effects were also collected."
3664,Patients in each of the dabigatran dual therapy groups had fewer side effects than the patients in the warfarin triple therapy group.
3665,"Overall, 24% of patients in the dabigatran 110 mg dual therapy group, 26% of patients in the dabigatran 150 mg dual therapy group, and 35% of patients in the warfarin triple therapy group had side effects."
3666,The table below shows side effects that occurred in at least 2% of patients in any of the treatment groups.
3667,Doctors keep track of all healthproblems patients have during a study.
3672,BI 1160.18614 Feb 2018 Page 6 of 7Dabigatran110 mg dual therapy(972 patients)Dabigatran150 mg dual therapy(758 patients)Warfarintriple therapy(948 patients)Patients with any side effect 230 patients (24%)198 patients (26%)335 patients (35%)Nosebleed(Epistaxis)42 patients(4%)40 patients(5%)115 patients(12%)Swelling that is filled with blood (Haematoma)19 patients(2%)19 patients(3%)43 patients(5%)Blood in the urine(Haematuria)17 patients(2%)15 patients(2%)22 patients(2%)Upset stomach(Dyspepsia)16 patients(2%)10 patients(1%)0 patientsBruising(Contusion)15 patients(2%)11 patients(2%)28 patients(3%)Bleeding of the gums(Gingival bleeding)9 patients(less than 1%)14 patients(2%)30 patients(3%)Increased blood clotting time(INR increased)0 patients 0 patients29 patients(3%)Bleeding under the skin(Subcutaneous haematoma)6 patients(less than 1%)2 patients(less than 1%)19 patients(2%)There were also fewer patients who had serious side effects in each of the dabigatran dual therapy groups than in the warfarin triple therapy group.
3673,A total of55 patients (6%) in the dabigatran 110 mg dual therapy group and 40 patients (5%) in the dabigatran 150 mg dual therapy group had at least 1 serious side effect.
3674,"In the warfarin triple therapy group, 85 patients (9%) had at least 1 serious side effect."
3675,The types of serious side effects were similar in the dabigatran and warfarin groups.
3676,The most common serious side effect wasbleeding in the stomach (gastrointestinal haemorrhage).
3677,"A total of 38 patients (4%) in the dabigatran 110 mg dual therapy group, 24 patients (3%) in the dabigatran 150 mg dual therapy group, and 41 patients (4%) in the warfarin triple therapy group died during the study."
3681,BI 1160.18614 Feb 2018 Page 7 of 7Are there follow-up studies?
3684,"You can find the scientific summaries of the study results at these websites:www.trials.boehringer-ingelheim.com search for the study number: 1160.186www.clinicaltrialsregister.eu search for the EudraCT number: 2013-003201-26www.clinicaltrials.gov search for the NCT number: NCT02164864The full title of the study is: A prospective randomised, open label, blinded endpoint (PROBE) study to evaluate dual antithrombotic therapy with dabigatran etexilate (110 mg and 150 mg b.i.d.)"
3685,plus clopidogrel or ticagrelor vs. triple therapy strategy with warfarin (INR 2.0 3.0) plus clopidogrel or ticagrelor and aspirin in patients with non valvular atrial fibrillation (NVAF) that have undergone a percutaneous coronary intervention (PCI) with stenting (RE-DUAL PCI) .
3703,"Lay summary 1200.43BI 1200.43, Primary Analysis, Revision No."
3704,104 April 2018 Page 1 of 6A study of afatinib compared with methotrexate in patients with cancer of the head and neck that has returned or spreadThis is a summary of a clinical study in patients with head and neck cancer.
3708,"Through your participation, you helped researchers answer important questions about afatinib and the treatment of head and neck cancer."
3710,The patients in this study had a type of cancer known as head and neck squamous cell carcinoma .
3711,This is a type of cancer of the mouth and throat.
3712,"Furthermore, the patients had already been treated, but their cancer returned or spread."
3713,The standard treatment for this type of cancer that has returned or spread includes platinum-based chemotherapy.
3714,"However, in many patients the cancer returns again, despite treatment with chemotherapy."
3715,The purpose of this study was to test how treatment with afatinib compared with methotrexate could help prevent further growth of cancer in patients whose cancer had returned after chemotherapy.
3716,"During the study, researchers also collected information on side effects of afatinib and methotrexate."
3717,This study started in January 2012 and finished in December 2016.
3719,New treatments for squamous cell carcinoma of the head and neck are needed.
3720,This type of cancer can grow and spread quickly.
3721,Head and neck squamous cell carcinoma is a major cause of cancer-related illness and death.
3722,"Each year, more than 600,000 cases of head and neck squamous cell carcinoma are diagnosed worldwide."
3723,"The standard treatment includes surgery, radiotherapy, or chemotherapy."
3724,"Although some patients are free of disease after treatment, there is a risk that some cancer cells are left in the body and that tumours return."
3725,"More than half of patients treated with chemotherapy, radiotherapy, or surgery will have their cancer return or spread to other parts of the body."
3726,Afatinib is being studied to see if it can prevent the tumours from growing further in patients with head and neck squamous cell carcinoma.
3727,"In this study, patients had been treated with chemotherapy but their cancer still grew."
3728,Methotrexate is a medicine approved for use in these patients.
3729,It is used after the first attempts at treatment fail and cancer returns or spreads.
3730,Researchers wanted to compare afatinib with methotrexate as treatments for squamous cell carcinoma of the head and neck.
3731,"BI 1200.43, Primary Analysis, Revision No."
3732,104 April 2018 Page 2 of 6Which medicines were studied?
3734,Afatinib permanently blocks several growth factor signals (including a protein called EGFR).
3735,It is used in certain types of lung cancer that grow because of EGFR mutations.
3737,Methotrexate is another medicine that can prevent tumours from growing and spreading.
3738,"Methotrexate is used to treat cancer, including head and neck cancer."
3739,It is also used to treat other diseases such as rheumatoid arthritis and severe cases of psoriasis.
3740,Methotrexate is given by intravenous injection.
3743,All patients in this study were adults with head and neck squamous cell carcinoma.
3744,"Patients with cancer of the nasopharynx (upper throat behind the nose), sinuses, or salivary glands could not participate in the study."
3745,Patients in the study had cancer that had returned or spread to other parts of their body.
3746,"They had already received platinum-based chemotherapy, but the disease had continued to spread."
3747,They had tumours that could not be removed by surgery.
3748,"Overall, 483 patients took part in the study, including 412 men and 71 women."
3750,The youngest patient was 32 years old and the oldest patient was 88 years old.
3751,"Of these patients, 480 received either afatinib or methotrexate in the study."
3752,Three patients did not receive any study medicine.
3753,The table below shows the number of patients in different geographical regions and countries who took part in the study.
3754,"Geographical Region Countries Number of PatientsEurope Austria, Belgium, Czech Republic, Denmark, France, Germany, Greece, Italy, Russia, Spain, Sweden, Switzerland369North/Latin America Argentina, Brazil, Mexico, United States 60Asia Japan 43Other Israel, South Africa 11BI 1200.43, Primary Analysis, Revision No."
3755,104 April 2018 Page 3 of 6How was this study done?
3756,About two-thirds of the patients (320 patients) in this study were treated with afatinib and the other 160 patients were treated with methotrexate.
3757,It was decided by chance who got which treatment.
3758,Patients and doctors knew if the patients were taking afatinib or methotrexate.
3759,Patients in the afatinib group began with a dose of 40 milligrams (mg) once a day.
3760,"Patients in the methotrexate group began at a dose based on their body size (40 mg per square metre of body surface area, or m2) once a week."
3761,Doses of each treatment could be increased or decreased depending on whether the patients had side effects that they could not tolerate.
3762,Patients were to take afatinib tablets or receive methotrexate injections until their cancer grew further or until they had side effects that they could not tolerate.
3763,All patients in the study followed the same procedures: The patients visited the doctor about once a week while they received study medicine.
3764,"At these visits, the patients answered questions about their health."
3765,"At some visits, tests were done to check if the patient s cancer had grown or if any new tumours had formed."
3766,Other assessments were also done to check the patient s health.
3768,"To see if afatinib or methotrexate could prevent the cancer from growing further, the researchers measured the time from starting the medicines until the cancer grew further or the patient died."
3769,This is called progression-free survival .
3773,The average progression-free survival was longer for patients who got afatinib than for patients who got methotrexate.
3774,The average progression-free survival was 2.63 months for patients who got afatinib and 1.74 months for patients who got methotrexate.
3775,These results are shown in the picture on the next page.
3776,The risk of the cancer growing further or the patient dying was 20% lower for patients in the afatinib group than for patients in the methotrexate group.
3779,"Overall, 85.4% of patients in the afatinib group and 83.9% of patients in the methotrexate group had their cancer grow further or died."
3780,Researchers also looked at overall survival.
3781,They found that there was no difference in average overall survival between patients who got afatinib and patients who got methotrexate.
3782,The average overall survival was 6.80 months in the afatinib group and 6.18 months in the methotrexate group.
3783,The risk of dying was about the same in both groups.
3787,"Overall, 68.3% of patients in the afatinib group and 70.8% of patients in the methotrexate group died during the study."
3789,104 April 2018 Page 4 of 6The results described above were based on an analysis conducted while the study was still in progress during 2014.
3790,"Once the study was completed, a final analysis confirmed these results."
3793,"In this study, 303 out of 320 patients (95%) in the afatinib group and 137 out of 160 patients (86%) in the methotrexate group had unwanted effects."
3794,The most common unwanted effects are shown in the table on the next page.
3795,2.63 6.801.74 6.18012345678Progression-free survival Overall survivalMonths AfatinibMethotrexateThis figure shows the average time it took from starting study treatment until the cancer grew again or the patient died (progression-free survival).
3796,The figure also shows the average time it took from starting study treatment until the patient died (overall survival).
3797,The results for patients getting afatinib are shown in dark blue bars and results for those getting methotrexate are shown in light blue bars.
3799,104 April 2018 Page 5 of 6Afatinib(320 Patients)Methotrexate(160 Patients)Patients with any unwanted effect 303 patients (95%) 137 patients (86%)Diarrhoea 231 patients (72%) 19 patients (12%)Rash 127 patients (40%) 9 patients (6%)Mouth sores (stomatitis) 68 patients (21%) 28 patients (18%)Acne-like skin (dermatitis acneiform) 65 patients (20%) 4 patients (3%)Swelling of the mucous linings (mucosal inflammation)65 patients (20%) 40 patients (25%)Nausea 64 patients (20%) 36 patients (23%)Some unwanted effects were serious.
3800,"They required a visit to hospital or a longer stay in hospital, needed a doctor's immediate attention, or were life-threatening or fatal."
3801,"In this study, 44 patients (13.8%) in the afatinib group and 18 patients (11.3%) in the methotrexategroup had serious unwanted effects."
3802,This included 2 patients (0.6%) in the afatinib group and5 patients (3.1%) in the methotrexate group who died from unwanted effects.
3805,"To search for these studies, use the following names: BIBW 2992, afatinib."
3807,104 April 2018 Page 6 of 6Where can I find more information?
3808,You can find the scientific summaries of the study results at these websites:www.trials.boehringer-ingelheim.com search for the study number: 1200.43www.clinicaltrialsregister.eu search for the EudraCT number: 2011-000391-34www.clinicaltrials.gov search for the NCT number: NCT01345682The sponsor of this study was Boehringer Ingelheim.
3809,"The full title of the study is: LUX-Head & Neck 1: A randomised, open-label, phase III study to evaluate the efficacy and safety of oral afatinib (BIBW 2992) versus intravenous methotrexate in patients with recurrent and/or metastatic head and neck squamous cell carcinoma who have progressed after platinum-based therapy ."
3827,"Lay summary 1199.187BI 1199.18712 Apr 2018 Page 1 of 4This is a summary of a clinical study in patients with idiopathic pulmonary fibrosis, a rare type of lung disease."
3828,It is written for the general reader and uses language that is easy tounderstand.
3830,The simplified title for the study is: A study of nintedanib to slow the amount of scarring in the lungs of patients with idiopathic pulmonary fibrosis .
3832,"Through your participation, you helped researchers answer important questions about nintedanib and the treatment of idiopathic pulmonary fibrosis."
3834,Patients with idiopathic pulmonary fibrosis (IPF) have scar tissue that accumulates in their lungs.
3835,The researchers wanted to know if patients who took a medicine called nintedanib for 6 months had less scar tissue than patients who took placebo for 6 months.
3836,"To test this, the researchers took special scans called high-resolution computed tomography, or HRCT, of each patient s chest."
3837,The scans were done at the beginning of the study and again after 6 months of treatment.
3838,Researchers also collected information on the unwanted effects of nintedanib.
3839,This study started in December 2013 and finished in October 2016.
3840,This study was stopped early because nintedanib and another medicine received approval for the treatment of IPF.
3841,"Because of this, fewer patients entered the study than were planned."
3842,The sponsor of thisstudy was Boehringer Ingelheim.
3844,This study examined if nintedanib slowed down the scarring in the lungs.
3845,Idiopathic pulmonary fibrosis is a rare disease that causes scarring of the tissue inside the lungs.
3850,Researchers studied a medicine called nintedanib (also known as BIBF 1120).
3851,Nintedanib received approval during this study as a medicine used to treat patients with IPF.
3853,"Some patients in the study were treated with nintedanib, and the others were treated with a placebo."
3855,BI 1199.18712 Apr 2018 Page 2 of 4Who participated in the study?
3856,Patients who had been diagnosed with IPF within the last 5 years could take part in this study.
3857,Patients also had to be at least 40 years old.
3858,"Originally, researchers planned for 275 patients to take part."
3859,Nintedanib was approved for treating IPF before all planned patients were enrolled.
3860,"Therefore, only 113 patients tooknintedanib or placebo in the study."
3861,A total of 82 patients were men and 31 were women.
3862,The average age was 68 years.
3863,The youngest patient was 45 years old and the oldest patient was 88 years old.
3864,"On average, patients had been diagnosed with IPF about 1.5 years before the study started."
3865,"There were 67 patients in Canada, 24 patients in United States, and 22 patients in Turkey."
3869,"One group of 56 patients was given nintedanib, and the other group of 57 patients was given placebo."
3871,Patients took nintedanib capsules or placebo capsules twice a day.
3872,Patients in the nintedanib group started on a dose of 150 milligrams (mg) twice a day.
3873,This dose could be decreased if the patients had unwanted effects that they could not tolerate.
3874,It was planned for patients to be treated with either nintedanib or placebo for 6 months.
3875,"After this 6-month treatment period, patients in the nintedanib group could continue to takenintedanib."
3876,Patients in the placebo group could switch to take nintedanib.
3877,"Treatment was planned to continue for up to 18 months, but the study was stopped after the last patient had at least 6 months of treatment."
3878,Researchers measured the amount of scar tissue in each patient s lungs and assigned a quantitative lung fibrosis (QLF) score.
3879,The QLF score for each patient was recorded at the beginning of the study and again after 6 months of treatment.
3881,Both treatment groups had similar QLF scores at the beginning of the study.
3882,"After 6 monthsof treatment, the average QLF score increased in both treatment groups compared with the beginning of the study."
3883,"Because the study was stopped early, there were not enough patients to reach clear conclusions on the results of this study."
3884,BI 1199.18712 Apr 2018 Page 3 of 4What unwanted effects did patients have?
3885,"During the 6-month treatment period, 44 out of 56 patients (79%) in the nintedanib group had unwanted effects."
3886,"In the placebo group, 33 out of 57 patients (58%) had unwanted effects."
3887,The most common unwanted effects seen in at least 10% of patients in either group are shown in the table below.
3888,"Nintedanib(56 patients)Placebo(57 patients)Patients with any unwanted effect 44 patients (79%) 33 patients (58%)Diarrhoea 38 patients (68%) 21 patients (37%)Nausea 14 patients (25%) 11 patients (19%)Decreased appetite 11 patients (20%) 3 patients (5%)Vomiting 9 patients (16%) 1 patient (2%)Feeling tired (fatigue) 8 patients (14%) 0 patientsWeight loss 7 patients (13%) 0 patientsDuring the 6-month treatment period, a total of 1 out of 56 patients (2%) in the nintedanib group had serious unwanted effects."
3889,"In the placebo group, 3 out of 57 patients (5%) had serious unwanted effects."
3894,These health problems are called unwanted effects.
3895,Some patients in the study had serious unwanted effects.
3896,An unwanted effect was serious if it caused the patient to go to the hospital or stay longer in the hospital.
3897,"It was also seriousif it needed a doctor's immediate attention, was life-threatening, or caused death."
3898,BI 1199.18712 Apr 2018 Page 4 of 4A total of 2 patients out of 56 patients (4%) in the nintedanib group died during the 6-month treatment period.
3899,"During this period, 4 patients out of 57 patients (7%) in the placebo group died."
3900,"Of these patients, 1 patient in the nintedanib group and 2 patients in the placebo group died due to unwanted effects."
3901,The patient who died in the nintedanib group had inadequate blood flow in the intestine (intestinal infarction).
3902,The patients in the placebo group died due to IPF and their lungs not functioning (respiratory failure).
3906,"You can find the scientific summaries of the study results at these websites:www.trials.boehringer-ingelheim.com search for the study number: 1199.187www.clinicaltrials.gov search for the NCT number: NCT 01979952The full title of the study is: A six month double-blind, randomized, placebo-controlled trial, followed by each arm being converted to oral nintedanib 150 mg twice daily, comparing the effect on high resolution computerized tomography quantitative lung fibrosis score, lung function, six-minute walk test distance, and St. George s Respiratory Questionnaire after six months of treatment in patients with idiopathic pulmonary fibrosis with continued evaluations over a period of up to eighteen months ."
3914,http://www.trials.boehringer-ingelheim.com/http://www.clinicaltrials.gov What was this study about?
3920,What unwanted effects did patients have?
3924,"Lay summary 1199.34BI 1199.3418 Aug 2017 Page 1 of 5This is a summary of a clinical study in patients with idiopathic pulmonary fibrosis, a rare type of lung disease."
3927,The simplified title for the study is: A study of nintedanib in patients with idiopathic pulmonary fibrosis .
3929,"Through your participation, you helped researchers answer important questions about nintedanib and the treatment ofidiopathic pulmonary fibrosis."
3931,The purpose of this study was to find out if a medicine called nintedanib helps patients with idiopathic pulmonary fibrosis (IPF).
3932,"During the study, researchers also collected information on side effects of nintedanib."
3933,This study started in May 2011 and finished in October 2013.
3936,"New medicines are needed to treat patients with IPF, a rare disease of the lung."
3937,Idiopathic pulmonary fibrosis causes scarring of the tissue inside the lungs.
3942,"Currently, there is no cure for IPF, and there are very few treatments for patients with IPF."
3943,The disease worsens over timeand will eventually lead to death.
3947,Nintedanib had already been tested in clinical studies in patients with IPF and in patients with various types of cancer.
3949,"Some patients in the study were treated with nintedanib, and the others were treated with placebo."
3951,BI 1199.3418 Aug 2017 Page 2 of 5Who participated in the study?
3953,They had to be at least 40 years old.
3954,A total of 548 patients were treated with nintedanib or placebo in the study.
3955,A total of 427 patients were men and 121 were women.
3957,The youngest patient was 42 years old and the oldest patient was 89 years old.
3958,"Many patients were from Asia (205 patients from China, India, Japan, and Korea)."
3959,"Some patients were from the European Union (184 patients from Finland, France, Germany, Greece, the Netherlands, Portugal, and Spain)."
3960,"Other patients were from Canada (14 patients), Chile (11 patients), Mexico (7 patients), Russia (3 patients), Turkey (34 patients), and the United States(90 patients)."
3962,The researchers wanted to know if patients who took nintedanib did better in lung function tests than patients who took placebo.
3963,"To test this, the patients were divided into 2 groups."
3965,"One group of 329 patients was given nintedanib, and the other group of 219 patients was given placebo."
3967,The doctors also did not know it.
3969,Patients in the nintedanib group were started on a dose of 150 milligrams (mg) twice a day.
3972,"If patients taking placebo had side effects that they could not tolerate, the doctors could also lower the dose , or patients could stop taking the capsules for a while."
3973,It was planned for patients to be treated in the study for 1 year.
3974,"During their time in the study, all patients followed the same procedures: The patients visited the doctor every 2 weeks for the first 6 weeks of the study."
3975,"After this, they visited the doctor every 6 weeks."
3976,The patients took lung function tests.
3977,The patients answered questions about their health and quality of life.
3978,The patients had blood tests to check their health.
3979,The doctors collected information on side effects.
3980,The doctors looked after each patient and checked results.
3981,They also discussed any health problems with the patients and did further medical tests when needed.
3982,"To see if nintedanib could slow down the worsening of lung function, the researchers used a special lung function test."
3983,This test measured how much air patients could forcefully blow out after inhaling deeply.
3984,Researchers call this measurement Forced Vital Capacity or FVC .
3985,The researchers measured how much FVC changed over 1 year.
3986,A greater decrease in FVC over 1 year meant a faster worsening of lung function.
3987,BI 1199.3418 Aug 2017 Page 3 of 5What were the results of this study?
3988,"On average, the lung function in patients who took nintedanib worsened less over 1 year compared with patients who took placebo."
3989,"In the nintedanib group, the yearly decrease in FVC, or the amount of air patients could forcefully blow out after inhaling deeply, was abouthalf of the average decrease in the placebo group."
3990,This is shown in the figure below.
3991,"To be sure that the results were reliable, researchers used statistical tests."
3992,They found that it was very unlikely that the results came about by chance.
3994,More patients in the nintedanib group (69%) than in the placebo group (26%) had side effects.
3995,The most common side effects affected the digestive system.
3996,These side effects were more common in patients who took nintedanib than in patients who took placebo.
3997,Side effects that were seen in at least 5% of patients in either treatment group are shown in the table on the next page.
4003,"BI 1199.3418 Aug 2017 Page 4 of 5Nintedanib Group(329 patients)Placebo Group(219 patients)Patients who had side effects related to the study medicines227 patients (69%) 56 patients (26%)Frequent, loose bowel movements (diarrhoea)176 patients (54%) 21 patients (10%)Feeling sick (nausea) 67 patients (20%) 10 patients (5%)Decreased appetite 29 patients (9%) 6 patients (3%)Vomiting 24 patients (7%) 3 patients (1%)Stomach pain (abdominal pain) 23 patients (7%) 5 patients (2%)Weight loss (weight decreased) 21 patients (6%) 0 patientsSome patients stopped taking the study medicines and others lowered their dose of study medicine because of side effects."
4004,"More patients in the nintedanib group (30 patients, 9%) than in the placebo group (4 patients, 2%) stopped taking study medicines because of side effects."
4005,"Also, more patients in the nintedanib group (49 patients, 15%) than in the placebo group (0 patients) lowered their dose of study medicine because of side effects."
4006,A total of 9 patients (3%) in the nintedanib group and 5 patients (2%) in the placebo group had at least 1 serious side effect during the study.
4007,A total of 25 patients (8%) in the nintedanib group and 21 patients (10%) in the placebo group diedduring the study.
4008,Most of these patients died due to their lung disease.
4009,The doctors did not think any of the deaths were caused by the study medicines.
4011,Patients who completed this study could participate in a follow-up study 1199.33.
4012,This study is still ongoing.
4016,BI 1199.3418 Aug 2017 Page 5 of 5Where can I find more information?
4017,"You can find the scientific summaries of the study results at these websites:www.trials.boehringer-ingelheim.com search for the study number: 1199.34www.clinicaltrialsregister.eu search for the EudraCT number: 2010-024252-29www.clinicaltrials.gov search for the NCT number: NCT01335477The full title of the study is:'A 52 weeks, double blind, randomized, placebo-controlled trial evaluating the effect of oral BIBF 1120, 150 mg twice daily, on annual Forced Vital Capacity decline, in patients with Idiopathic Pulmonary Fibrosis (IPF)'."
4036,"Lay summary 1199.32BI 1199.3218 Aug 2017 Page 1 of 5This is a summary of a clinical study in patients with idiopathic pulmonary fibrosis, a rare type of lung disease."
4063,BI 1199.3218 Aug 2017 Page 2 of 5Who participated in the study?
4066,A total of 513 patients were treated with nintedanib or placebo in the study.
4067,A total of 414 patients were men and 99 were women.
4069,"The youngest patient was 42 years old, and the oldest patient was 87 years old."
4070,"Many patients were from the European Union (288 patients from Belgium, Czech Republic, France, Germany, Ireland, Italy, and UK)."
4071,"Some patients were from Asia (103 patients from China, India, and Japan)."
4072,"Other patients were from Australia (33 patients), Israel (19 patients), and the United States(70 patients)."
4077,"One group of 309 patients was given nintedanib, and the other group of 204 patients was given placebo."
4099,BI 1199.3218 Aug 2017 Page 3 of 5What were the results of this study?
4101,"In the nintedanib group, the yearly decrease in FVC, or the amount of air patients could forcefully blow out after inhaling deeply, was about half of the decrease in the placebo group."
4106,More patients in the nintedanib group (74%) than in the placebo group (31%) had side effects.
4115,"BI 1199.3218 Aug 2017 Page 4 of 5Nintedanib Group(309 patients)Placebo Group(204 patients)Patients who had side effects related to the study medicines228 patients (74%) 64 patients (31%)Frequent, loose bowel movements (diarrhoea)165 patients (53%) 25 patients (12%)Feeling sick (nausea) 55 patients (18%) 9 patients (4%)Decreased appetite 25 patients (8%) 7 patients (3%)Vomiting 21 patients (7%) 2 patients (1%)Stomach pain (abdominal pain) 17 patients (6%) 0 patientsSome patients stopped taking the study medicines and others lowered their dose of study medicine because of side effects."
4116,"More patients in the nintedanib group (42 patients, 14%) than in the placebo group (6 patients, 3%) stopped taking study medicines because of side effects."
4117,"Also, more patients in the nintedanib group (52 patients, 17%) than in the placebo group (2 patients, 1%) lowered their dose of study medicine because of side effects."
4118,A total of 14 patients (5%) in the nintedanib group and 6 patients (3%) in the placebo group had at least 1 serious side effect during the study.
4119,A total of 12 patients (4%) in the nintedanib group and 10 patients (5%) in the placebo group died during the study.
4121,The doctors did not think any of the deaths in the nintedanib group were caused by the study medicine.
4122,One patient in the placebo group died due to a side effect that the doctor thought was related to the study medicine (placebo).
