Under conditions of high humidity , the rate of evaporation of sweat from the skin decreases .	With a higher humidity , the rate of evaporation is less .
People with tertiary syphilis are not infectious .	People with tertiary syphilis are not infectious ( they can not infect other people with syphilis at this stage ) .
There may be a symmetrical , reddish-pink , non-itchy rash on the trunk and extremities , including the palms and soles .	Sometimes , there is a reddish-pink , non-itchy rash on the chest , back and extremities ( hands and feet ) , including the palms and soles .
Without treatment , a third of infected people develop tertiary disease .	Without treatment , one-third of people who are infected with syphilis ( one in every three people with syphilis ) get tertiary disease .
If allergic , as in the case of early disease , doxycycline or tetracycline may be used , albeit for a longer duration .	If a person is allergic to penicillin , other antibiotics like ceftriaxone , doxycycline , or tetracycline can be used , but they have to be given over longer periods of time .
Early latent syphilis may have a relapse of symptoms .	In the early latent syphilis stage , a person can have a relapse of symptoms , meaning that his symptoms can come back after having gotten better .
Other late presentations may be treated with once-weekly intramuscular penicillin G for three weeks .	Sometimes , late syphilis can also be treated with intramuscular penicillin G ( given as a shot into the muscle ) , but the medication has to be given once a week for three weeks .
The first-choice treatment for uncomplicated syphilis remains a single dose of intramuscular penicillin G or a single dose of oral azithromycin .	Usually , the first treatment that is used is either a single dose of penicillin G , given intramuscularly ( given with a needle as a shot into the muscle ) , or a single dose of oral azithromycin .
Most ( 60 % ) of new cases in the United States occur in men who have sex with men .	Most new cases of syphilis in the United States happen in men who have sex with men ( who , specifically , get 60 % of new cases , or 6 out of every 10 ) .
Primary syphilis is typically acquired by direct sexual contact with the infectious lesions of another person .	People usually get primary syphilis by having direct sexual contact with infectious lesions - wounds caused by syphilis - on the genitals of a person who already has syphilis .
Also , there may be Argyll Robertson pupils , which are bilateral small pupils that constrict when the person focuses on near objects , but do not constrict when exposed to bright light .	Late neurosyphilis can also cause Argyll Robertson pupils , which causes a person 's pupils ( the black circles in the middle of their eyes ) to be smaller than usual ; the pupils also constrict ( or get smaller ) when the person focuses their eyes on objects that are close by , but they do not constrict after seeing bright lights , like normal pupils do .
Approximately 30 to 60 % of those exposed to primary or secondary syphilis will get the disease .	However , not everybody who is exposed to primary or secondary syphilis will get the disease .
Neurosyphilis refers to an infection involving the central nervous system .	Neurosyphilis is an infection that involves the central nervous system ( the brain and spinal cord ) .
Syphilis is transmitted primarily by sexual contact or during pregnancy from a mother to her fetus ; the spirochaete is able to pass through intact mucous membranes or compromised skin .	Syphilis is transmitted ( or spread ) mostly by sexual contact or during pregnancy from a mother to her fetus .
Late latent syphilis is asymptomatic , and not as contagious as early latent syphilis .	Late latent syphilis does not have any specific symptoms , and it is not as contagious ( meaning that it does not spread as easily ) as early latent syphilis .
The United Kingdom uses a cut-off of two years for early and late latent syphilis .	In the United Kingdom , latent syphilis is called early if it has been less than two years since the secondary stage , and it is called late if it has been more than two years .
The signs and symptoms of syphilis vary depending in which of the four stages it presents ( primary , secondary , latent , and tertiary ) .	In each stage , the signs and symptoms of syphilis are different .
Marulanda died of a heart attack on March 26 , 2008 .	In it , Santos said , that Colombian intelligence agents thought , that Manuel Marulanda had died on the 26th of March 2008 , either of natural causes , or through a heart attack .
He is first mentioned ( though not seen ) in Planet of the Spiders , when the Brigadier thinks the Third Doctor has gone into a coma .	He is first mentioned ( though not seen ) in Planet of the Spiders , when the Brigadier thinks the Third Doctor has gone into a coma .
During a 1975 benefit concert , he collapsed on stage from a heart attack and subsequently fell into a coma that persisted for nearly nine years until his death in 1984 , at the age of 49 .	During a 1975 benefit concert , he collapsed on-stage from a heart attack .
The cause of death was not reported initially , but it is mentioned that Baraka had a long struggle with diabetes .	Baraka had diabetes .
In 1796 , a Catholic priest insisted that pato players who died in such a way should be denied Christian burial .	In 1796 , a Catholic priest said that pato players who died this way should not get Christian burial .
Since then , several other high-resolution structures have been determined by electron crystallography , including the light-harvesting complex , the nicotinic acetylcholine receptor , and the bacterial flagellum .	Since then , several other high-resolution structures have been done by electron crystallography , including the light-harvesting complex , and the bacterial flagellum .
He died of a heart attack in 1967 .	His father , who was from the UK , died of a heart attack in 1967 .
Pauling was one of the founders of the fields of quantum chemistry and molecular biology .	Pauling was one the first scientists to work in the fields of quantum chemistry , molecular biology and orthomolecular medicine .
Widespread private concerns related to penis size have led to a number of folklore sayings and popular culture reflections related to penis size .	Widespread private concerns have led to a number of folklore sayings and popular culture reflections related to penis size .
The perception of having a large penis is often linked to higher self-esteem .	The perception of having a large penis is linked to higher self-esteem .
A study undertaken at Utrecht University found that the majority of homosexual men in the study regarded a large penis as ideal , and having one was linked to self-esteem .	At Utrecht University was found that the majority of homosexual men regarded a large penis as ideal , and having one was linked to self-esteem .
An adult penis with an erect length of less than 7 cm ( just under 3 inches ) , but otherwise formed normally , is referred to in medicine as a micropenis .	An adult penis with an erect length of less than 7 cm but otherwise formed normally is referred to as having the micropenis condition .
Males may quite easily underestimate the size of their own penis relative to that of others , and many men who believe that their penis is of inadequate size have average-sized penises .	Studies found that many men who believed that their penis was of inadequate size had average-sized penises .
Flaccid penis length is a poor estimate of erect length .	Flaccid length is not a reliable indication of erect length .
The most accurate measurement of the human penis comes from several measurements at different times since there is natural minor variability in size due to arousal level , time of day , room temperature , frequency of sexual activity , and reliability of measurement .	The size depends on arousal level , time of day , room temperature , frequency of sexual activity , and unreliability of the measurement methods .
In 1995 , at the age of nineteen , Perales was diagnosed with neuropathy and lost the use of her legs within three months .	In 1995 , at the age of nineteen , Perales was diagnosed with neuropathy and lost the use of her legs in three months .
Williams suggested that some genes responsible for increased fitness in the younger , fertile organism contribute to decreased fitness later in life .	A gene may increase fitness in the younger , fertile organism , yet contribute to decreased fitness later in life .
This is achieved by excluding high-carbohydrate foods such as starchy fruits and vegetables , bread , pasta , grains and sugar , while increasing the consumption of foods high in fat such as nuts , cream and butter .	High-carbohydrate foods are foods like fruits , bread , pasta , grains , cookies , and ice cream .
It consists of cutting or scraping away most of the connections to and from the prefrontal cortex , the anterior part of the frontal lobes of the brain .	The operation cut the connections from the pre-frontal cortex ( front part of the frontal lobes ) to the rest of the brain .
Yancey died of a stroke secondary to diabetes in Chicago on September 17 , 1951 .	Yancey died of a stroke in Chicago on September 17 , 1951 .
Like the ovaries to which they are homologous , testes are components of both the reproductive system and the endocrine system .	They are part of two of the body 's systems , the endocrine system which keeps the body working , and the reproductive system which makes new life .
His three brothers James ( Roger ) ( 1915-2000 ) , Clifford ( 1916-1994 ) , and Gerald Durning ( born 1926 ) , and his sister Frances ( born 1919 ) survived to adulthood , but five sisters lost their lives to scarlet fever and smallpox as children .	His three brothers James ( Roger ) ( 1915-2000 ) , Clifford ( 1916-1994 ) , and Gerald Durning ( born 1926 ) , and his sister Frances ( born 1919 ) survived to adulthood , but five sisters lost their lives to scarlet fever and smallpox as children .
As a child he battled rheumatic fever , hepatitis and poliomyelitis .	When Sutherland was a child , he had rheumatic fever , hepatitis and poliomyelitis .
Child development refers to the biological , psychological and emotional changes that occur in human beings between birth and the end of adolescence , as the individual progresses from dependency to increasing autonomy .	Child development refers to biological , psychological and emotional changes that happen in humans between birth and the end of adolescence , at which time the individual goes from dependence to independence .
After years of illness , Balanchine died on April 30 , 1983 , aged 79 , in Manhattan from Creutzfeldt-Jakob disease , which was diagnosed only after his death .	Balanchine died in 1983 of Creutzfeldt-Jakob disease .
A disease or condition is not a pandemic merely because it is widespread or kills many people ; it must also be infectious .	According to the World Health Organization , a pandemic can start when three conditions have been met : A disease or condition is not a pandemic merely because it is widespread or kills many people ; it must also be infectious .
For instance , cancer is responsible for many deaths but is not considered a pandemic because the disease is not infectious or contagious .	For example cancer is responsible for many deaths but is not considered a pandemic because the disease is not infectious ( although certain causes of some types of cancer might be ) .
A pandemic ( from Greek πᾶν pan `` all '' and δῆμος demos `` people '' ) is an epidemic of infectious disease that has spread through human populations across a large region ; for instance multiple continents , or even worldwide .	A pandemic ( from Greek παν pan all + δήμος demos people ) is an epidemic ( an outbreak of an infectious disease ) that spreads across a large region ( for example a continent ) , or even worldwide .
Typically , Belarusians eat a light breakfast and two hearty meals , with dinner being the largest meal of the day .	A typical Belarusian eats a light breakfast and two hearty meals , with dinner being the largest meal of the day .
Wheat and rye breads are consumed in Belarus , but rye is more plentiful because conditions are too harsh for growing wheat .	Rye is more plentiful because conditions are too harsh for growing wheat .
An American Society of the Order of St. John was established in 1957 as a foundation to assist the order with charitable work , after 1961 focusing its efforts specifically on the St. John Ophthalmic Hospital in Jerusalem and some other organizations aiding the sick .	An American Society of the Order of St. John was established in 1957 as a foundation to assist the order with charitable work , after 1961 focusing its efforts specifically on the St. John Ophthalmic Hospital in Jerusalem and some other organizations aiding the sick .
Black Pepper ( or perhaps long pepper ) was believed to cure illness such as constipation , diarrhea , earache , gangrene , heart disease , hernia , hoarseness , indigestion , insect bites , insomnia , joint pain , liver problems , lung disease , oral abscesses , sunburn , tooth decay , and toothaches .	The 5th century Syriac Book of Medicines prescribes pepper ( or perhaps long pepper ) for illnesses such as constipation , diarrhea , earache , gangrene , heart disease , hernia , hoarseness , indigestion , insect bites , insomnia , joint pain , liver problems , lung disease , oral abscesses , sunburn , tooth decay , and toothaches .
Also , it is eliminated from the diet of patients having abdominal surgery and ulcers because of its irritating effect upon the intestines , being replaced by what is referred to as a bland diet .	It is therefore eliminated from the diet of patients having abdominal surgery and ulcers .
The oldest , Christian , died in a boating accident in 1934 , and another , Harald , died from childhood meningitis .	Their oldest died in a tragic boating accident and another died from childhood meningitis .
Pavlovian conditioning was a major theme in Aldous Huxley 's dystopian novel , Brave New World , and also to a large degree in Thomas Pynchon 's Gravity 's Rainbow .	Pavlovian conditioning was a major theme in Aldous Huxley 's dystopian novel , Brave New World , and also to a large degree in Thomas Pynchon 's Gravity 's Rainbow .
Pavlov 's research on conditional reflexes greatly influenced not only science , but also popular culture .	Pavlov 's research on conditional reflexes greatly influenced not only science , but also popular culture .
Pavlov investigated the gastric function of dogs , and later children , by externalizing a salivary gland so he could collect , measure , and analyze the saliva and what response it had to food under different conditions .	In the 1890s , Pavlov was investigating the gastric function of dogs by externalizing a salivary gland so he could collect , measure , and analyze the saliva and what response it had to food under different conditions .
As Pavlov 's work became known in the West , particularly through the writings of John B. Watson , the idea of `` conditioning '' as an automatic form of learning became a key concept in the developing specialism of comparative psychology , and the general approach to psychology that underlay it , behaviorism .	As Pavlov 's work became known in the West , particularly through the writings of John B. Watson , the idea of `` conditioning '' as an automatic form of learning became a key concept in the developing specialism of comparative psychology , and the general approach to psychology called behaviourism .
Littman tentatively attributed the popular imagery to Pavlov 's contemporaries Vladimir Mikhailovich Bekhterev and John B. Watson , until Thomas found several references that unambiguously stated Pavlov did , indeed , use a bell .	Littman tentatively attributed the popular imagery to Pavlov 's contemporaries Vladimir Bekhterev and John B. Watson , until Thomas found several references that clearly said Pavlov did , indeed , use a bell .
It is less widely known that Pavlov 's experiments on the conditional reflex extended to children , some of whom underwent surgical procedures , similar to those performed on the dogs , for the collection of saliva .	It is less widely known that Pavlov 's experiments on the conditional reflex included children , some of whom apparently underwent surgical procedures , similar to the dogs , for the collection of saliva .
The concept for which Pavlov is famous is the `` conditioned reflex '' ( or in his own words the conditional reflex : the translation of условный рефлекс into English is debatable ) he developed jointly with his assistant Ivan Filippovitch Tolochinov in 1901 .	The concept for which Pavlov is famous is the `` conditioned reflex '' he developed with his assistant Ivan Tolochinov in 1901 .
Alongside Melanie Klein , she may be considered the founder of psychoanalytic child psychology : as her father put it , child analysis ` had received a powerful impetus through `` the work of Frau Melanie Klein and of my daughter , Anna Freud '' ' .	As her father put it , child analysis had received a powerful impetus through `` the work of Frau Melanie Klein and of my daughter , Anna Freud '' .
During the 1970s she was concerned with the problems of emotionally deprived and socially disadvantaged children , and she studied deviations and delays in development .	During the 1970s she was concerned with the problems of emotionally deprived and socially disadvantaged children .
Wernicke 's area , which spans the region between temporal and parietal lobes , plays a key role ( in tandem with Broca 's area in the frontal lobe ) in speech comprehension .	Wernicke 's area , which spans the region between temporal and parietal lobes , plays a key role ( with Broca 's area , which is in the frontal lobe ) .
The temporal lobe is located beneath the lateral fissure on both cerebral hemispheres of the mammalian brain .	The temporal lobe is a region of the cerebral cortex that is under the Sylvian fissure on both cerebral hemispheres of the mammalian brain .
The left temporal lobe holds the primary auditory cortex , which is important for the processing of semantics in both speech and vision in humans .	It is also important for the processing of semantics ( meaning ) in both speech and vision .
McQueen died at age 84 on December 22 , 1995 at Augusta Regional Medical Center in Augusta , from burns sustained when a kerosene heater she attempted to light malfunctioned and burst into flames .	McQueen died at age 84 on December 22 , 1995 at Augusta Regional Medical Center in Augusta .
By May 1904 , Chekhov was terminally ill with tuberculosis .	By 1904 , Chekhov was very sick .
There is a visual cortex in each hemisphere of the brain .	The visual cortex is a part of the brain .
Research on the primary visual cortex can involve recording action potentials from electrodes within the brain of cats , ferrets , rats , mice , or monkeys , or through recording intrinsic optical signals from animals or EEG , MEG , or fMRI signals from human and monkey V1 .	Research on the primary visual cortex can involve recording action potentials from electrodes within the brain of cats , ferrets , rats , mice , or monkeys .
It is located in the occipital lobe , in the back of the brain .	Physically , the visual cortex is at the back of the brain in the occipital lobe .
The left hemisphere visual cortex receives signals from the right visual field and the right visual cortex from the left visual field .	The primary visual cortex is the best studied visual area in the brain .
The Red Crescent society has helped millions of Pakistanis overcome disease and disaster , by offering support services for Pakistanis , which include , food , clean water , and medical services .	The Red Crescent society has helped millions of Pakistanis overcome disease and disaster , by offering support services for Pakistanis , which include , food , clean water , and medical services .
The exact cause of sarcopenia is unknown , but it may be due to a combination of the gradual failure in the `` satellite cells '' which help to regenerate skeletal muscle fibers , and a decrease in sensitivity to or the availability of critical secreted growth factors which are necessary to maintain muscle mass and satellite cell survival .	It may be due to the gradual failure in the `` satellite cells '' which help to regenerate skeletal muscle fibers , and a decrease in sensitivity to or the availability of secreted growth factors which are necessary to maintain muscle mass and satellite cell survival .
Muscular atrophy increases the risks of falling in conditions such as IBM ( inclusion body myositis ) .	Muscular atrophy also increases the risks of falling among people with certain medical conditions , such as IBM ( inclusion body myositis ) .
Muscle atrophy results from a co-morbidity of several common diseases , including cancer , AIDS , congestive heart failure , COPD ( chronic obstructive pulmonary disease ) , renal failure , and severe burns ; patients who have `` cachexia '' in these disease settings have a poor prognosis .	Muscle atrophy can also happen to people with certain diseases or medical conditions , like cancer , AIDS , congestive heart failure , Chronic obstructive pulmonary disease , and renal failure ( where the kidneys do not work correctly ) .
Muscular atrophy affects a major number of elderly .	Many older people have muscular atrophy .
Lemkin died of a heart attack at the public relations office of Milton H. Blow in New York City in 1959 , at the age of 59 .	Lemkin died of a heart attack at the public relations office of Milton H. Blow in New York City in 1959 , at the age of 59 .
In the human male , the urethra is about 8 inches ( 20 cm ) long and opens at the end of the penis .	In men , the urethra is about 20 cm ( 8 in ) long and its opening to the outside of the body is at the end of the penis .
In anatomy , the urethra ( from Greek οὐρήθρα - ourethra ) is a tube that connects the urinary bladder to the genitals for the removal of fluids from the body .	The urethra is a tube that connects the bladder to the outside of the body .
The female urethra is about 4 cm in length .	The female urethra is between the clitoris and the opening to the vagina .
The external urethral sphincter is a striated muscle that allows voluntary control over urination .	People and animals control urination using the urethral sphincter .
After 6-12 h , severe hyperkalemia , also the result of muscle breakdown , can lead to cardiac arrest .	After six to twelve hours , severe hyperkalemia can lead to cardiac arrest .
After 3-8 h , myoglobin , as a result of muscle breakdown , may start to show up in the blood plasma , which can cause the urine to turn a dark reddish , brown , or black color , and eventually lead to acute renal failure .	It can cause the urine to turn a dark reddish , brown , or black in color , and eventually lead to kidney failure .
The event that spurred him into writing was the death by polio of 18-year-old Manon Gropius , the daughter of Alma Mahler ( once Gustav Mahler 's wife ) and Walter Gropius .	He had probably already started the concerto when he heard the sad news of the death of a girl called Manon Gropius , the daughter of Alma Mahler ( who had once been Gustav Mahler 's wife ) and Walter Gropius .
In humans , the pigmentation of the iris varies from light brown to black , depending on the concentration of melanin in the iris pigment epithelium ( located on the back of the iris ) , the melanin content within the iris stroma ( located at the front of the iris ) , and the cellular density of the stroma .	In humans , the pigment of the iris varies from light brown to black .
Eye color or eye color is a polygenic phenotypic character determined by two distinct factors : the pigmentation of the eye 's iris and the frequency-dependence of the scattering of light by the turbid medium in the stroma of the iris .	Eye color is a visible character caused by two factors : the pigmentation of the eye 's iris , and way light is scattered as it hits the top layer of the iris .
Hazel eyes are due to a combination of Rayleigh scattering and a moderate amount of melanin in the iris ' anterior border layer .	This depends on the amount of melanin in the iris .
Heterochromia of the eye ( heterochromia iridis or heterochromia iridum ; the common incorrect form `` heterochromia iridium '' is not correct Latin ) is of two kinds .	The terms Hetrochromia iridis ( = different color of the iris ) , Heterochromia iridum ( plural form ) and Heterochromia iridium ( a mistake in Latin grammar ) are variously used when it is the eye color which is specifically mentioned .
He is a co-founder of the biotech start-up companies Biogen and Myriad Genetics , and was the first chairman on their respective boards of directors .	He is a co-founder of the biotech start-up companies Biogen and Myriad Genetics .
He is also involved in charity work by helping to raise money to help find a cure for Cystic Fibrosis through hosting Cystic Fibrosis walks and various other charities .	He also helps to raise money to help find a cure for cystic fibrosis through hosting cystic fibrosis walks .
After Jerilderie , Hart went into hiding with the gang and , for most of 1879 , the gang remained shadowy and elusive figures although Hart did appear at a St. Kilda doctor 's surgery to be treated for a foot condition .	After Jerilderie , Hart went into hiding with the gang for most of 1879 , although Hart did go to a St. Kilda doctor to be treated for a foot problem .
A patient who has such an illness may be referred to as a terminal patient , terminally ill or simply terminal .	Someone who has a terminal illness may be described as a terminal patient or as being terminally ill .
Palliative care is normally offered to terminally ill patients , regardless of their overall disease management style , if it seems likely to help manage symptoms such as pain and improve quality of life .	Very often , terminally ill patients are given palliative care to give them a better quality of life .
Terminal illness is a medical term commonly used to refer to a disease that will result in the death of the patient regardless of any treatment intervention .	Terminal illness is a term used to describe an illness which can not be cured and will almost definitely end in the death of the patient .
Avian influenza - known informally as avian flu or bird flu - refers to `` influenza caused by viruses adapted to birds . ''	Bird flu ( also called avian influenza , avian flu , bird influenza , or grippe of the birds ) , is an illness caused by a virus .
Later outbreaks of bubonic plague in Italy include the city of Florence in 1630-33 and the areas surrounding Naples , Rome and Genoa in 1656-57 .	Later outbreaks of bubonic plague in Italy include the city of Florence in 1630-1633 and the areas surrounding Naples , Rome and Genoa in 1656-1657 .
The papal city of Bologna lost an estimated 15,000 citizens to the plague , with neighboring smaller cities of Modena and Parma also being heavily affected .	The papal city of Bologna lost an estimated 15,000 citizens to the plague , with neighboring smaller cities of Modena and Parma also being heavily affected .
German and French troops carried the plague to the city of Mantua in 1629 , as a result of troop movements associated with the Thirty Years ' War ( 1618-48 ) .	German and French troops carried the plague to the city of Mantua in 1629 , as a result of troop movements associated with the Thirty Years ' War ( 1618-1648 ) .
This outbreak of plague also spread north into Tyrol , an alpine region of western Austria and northern Italy .	This outbreak of plague also spread north into Tyrol , an alpine region of western Austria and northern Italy .
Venetian troops , infected with the disease , retreated into northern and central Italy , spreading the infection .	Venetian troops , infected with the disease , retreated into northern and central Italy , spreading the infection .
In October 1629 , the plague reached Milan , Lombardy 's major commercial center .	In October 1629 , the plague reached Milan , Lombardy 's commercial center .
The Italian Plague of 1629-31 was a series of outbreaks of bubonic plague which occurred from 1629 through 1631 in northern Italy .	The Italian Plague of 1629-1631 was a series of outbreaks of bubonic plague from 1629 through 1631 in northern Italy .
This episode is considered one of the last outbreaks of the centuries-long pandemic of bubonic plague which began with the Black Death .	This episode is considered one of the last outbreaks of the centuries long pandemic of bubonic plague which began with the Black Death .
This epidemic , often referred to as Great Plague of Milan , claimed the lives of approximately 280,000 people , with the cities of the Lombardy and Veneto regions experiencing particularly high death rates .	This epidemic , often called the Great Plague of Milan , killed about 280,000 people .
BVI is an application that can be used on a 3D Full Body Scanner to determine individual health risk , whether the scanning hardware uses visible light optical information or otherwise .	The BVI is used on a 3D full body scanner to determine the health risk of the person scanned .
The Body Volume Index ( BVI ) is a new measurement for obesity , proposed as an alternative to the Body Mass Index ( BMI ) .	The Body Volume Index is a proposed alternative to the Body Mass Index ( BMI ) .
A number of medications are useful for preventing further episodes of gout , including xanthine oxidase inhibitor ( including allopurinol and febuxostat ) and uricosurics ( including probenecid and sulfinpyrazone ) .	A number of medications are useful for preventing further episodes of gout , including xanthine oxidase inhibitor ( including allopurinol and febuxostat ) , and uricosurics ( including probenecid and sulfinpyrazone ) .
Other blood tests commonly performed are white blood cell count , electrolytes , renal function , and erythrocyte sedimentation rate ( ESR ) .	Other blood tests commonly performed are white blood cell count , electrolytes , renal function , and erythrocyte sedimentation rate ( ESR ) .
However , both the white blood cells and ESR may be elevated due to gout in the absence of infection .	Both the white blood cells and ESR may be elevated due to gout in the absence of infection .
Extensive tophi may lead to chronic arthritis due to bone erosion .	Extensive tophi may lead to chronic arthritis due to bone erosion .
However , a low dose of hydrochlorothiazide does not seem to increase the risk .	However , a low dose of hydrochlorothiazide does not seem to increase the risk .
Pegloticase ( Krystexxa ) was approved in the USA to treat gout in 2010 .	Pegloticase ( Krystexxa ) was approved in the USA to treat gout in 2010 .
Diuretics have been associated with attacks of gout .	Diuretics are associated with attacks of gout .
This should be considered in those with signs of infection or those who do not improve with treatment .	This should be considered in those with signs of infection or those who do not improve with treatment .
Urate-lowering measures should be increased until serum uric acid levels are below 300-360 µmol \/ l ( 5.0-6 .0 mg\/dl ) , and are continued indefinitely .	Urate-lowering measures should be increased until serum uric acid levels are below 300-360 µmol \/ L ( 5.0-6 .0 mg\/dL ) .
Other conditions that look similar include pseudogout and rheumatoid arthritis .	Other conditions which present similarly include pseudogout and rheumatoid arthritis .
Gout was historically known as `` the disease of kings '' or `` rich man 's disease . ''	Gout was historically known as `` the disease of kings '' or `` the disease of rich men '' .
A white blood cell count as high as 40.0 × 109\/l ( 40,000 \/ mm3 ) has been documented .	A white blood cell count as high as 40.0 × 109\/L ( 40,000 \/ mm3 ) has been documented in people with gout .
Gout can present in a number of ways , although the most usual is a recurrent attack of acute inflammatory arthritis ( a red , tender , hot , swollen joint ) .	Gout can present in a number of ways , although the most common is a recurrent attack of intense inflammatory arthritis ( a red , tender , hot , swollen joint ) .
Hyperuricemia is defined as a plasma urate level greater than 420 μmol \/ l ( 7.0 mg\/dl ) in males and 360 μmol \/ l ( 6.0 mg\/dl ) in females .	Hyperuricemia is defined as a plasma urate level greater than 420 μmol \/ L ( 7.0 mg\/dL ) in males and 360 μmol \/ L ( 6.0 mg\/dL ) in females .
High levels of uric acid in the blood ( hyperuricemia ) is the underlying cause of gout .	A very high , abnormal level of uric acid in the blood ( hyperuricemia ) is the basic cause of gout .
A definitive diagnosis of gout is based upon the identification of monosodium urate crystals in synovial fluid or a tophus .	A definitive diagnosis of gout is based upon the identification of monosodium urate ( MSU ) crystals in joint fluid or a tophus .
About 10 % of people with hyperuricemia develop gout at some point in their lifetimes .	About 10 % of people with hyperuricemia develop gout at some point in their lives .
The immunosuppressive drugs ciclosporin and tacrolimus are also associated with gout , the former more so when used in combination with hydrochlorothiazide .	The immunosuppressive drugs ciclosporin and tacrolimus are also associated with gout .
Hyperuricemia is a classic feature of gout , but it occurs nearly half of the time without hyperuricemia , and most people with raised uric acid levels never develop gout .	Gout occurs nearly half of the time without hyperuricemia and most people with raised uric acid levels never develop gout .
Other medicines that increase the risk include niacin and aspirin ( acetylsalicylic acid ) .	Other medicines associated with causing gout attacks include niacin and aspirin ( acetylsalicylic acid ) .
Other conditions commonly complicated by gout include : polycythemia , lead poisoning , renal failure , hemolytic anemia , psoriasis , and solid organ transplants .	Gout often makes these other problems worse or harder to treat : polycythemia , lead poisoning , renal failure , hemolytic anemia , psoriasis , and solid organ transplants .
They are not recommended until a person has had two attacks of gout , unless destructive joint changes , tophi , or urate nephropathy exist , as medications have not been found cost-effective until this point .	This treatment is not recommended until a person has suffered two gout attacks , unless destructive joint changes , tophi , or urate nephropathy exist .
Three genes called SLC2A9 , SLC22A12 and ABCG2 have been found commonly to be associated with gout , and variations in them can approximately double the risk .	Two genes called SLC2A9 and ABCG2 are commonly associated with gout .
Long-standing elevated uric acid levels ( hyperuricemia ) may result in other symptomatology , including hard , painless deposits of uric acid crystals known as tophi .	High levels of uric acid in the blood over a long period of time ( hyperuricemia ) may cause other symptoms such as hard , painless deposits of uric acid crystals known as tophi .
The increase is believed due to increasing risk factors in the population , such as metabolic syndrome , longer life expectancy and changes in diet .	Metabolic syndrome , longer life expectancy , and changes in diet are the most common risk factors .
Xanthine oxidase inhibitors ( including allopurinol and febuxostat ) block uric acid production , and long-term therapy is safe and well tolerated , and can be used in people with renal impairment or urate stones , although allopurinol has caused hypersensitivity in a small number of individuals .	Xanthine oxidase inhibitors ( including allopurinol and febuxostat ) block uric acid production .
The most important differential diagnosis in gout is septic arthritis .	The most important diagnosis to rule out in gout is septic arthritis ( an infection in the joint ) .
However , it may also present as tophi , kidney stones , or urate nephropathy .	The disease may also appear as tophi , kidney stones , or urate nephropathy ( kidney disease due to urate crystals ) .
Gout ( also known as podagra when it involves the big toe ) is a medical condition usually characterized by recurrent attacks of acute inflammatory arthritis-a red , tender , hot , swollen joint .	Gout ( also known as podagra when it involves the largest toe ) is a medical condition .
Its side effects ( primarily gastrointestinal upset ) limit its usage .	Its side effects , primarily gastrointestinal upset limit its use .
Gout frequently occurs in combination with other medical problems .	Gout often happens with other medical problems .
Gout has become more common in recent decades , affecting about 1-2 % of the Western population at some point in their lives .	Gout has become more common .
They also lead to improvement when injected into the joint ; a joint infection must be excluded , however , as steroids worsens this condition .	A joint infection must be excluded if the condition worsens .
Renal underexcretion of uric acid is the primary cause of hyperuricemia in about 90 % of cases , while overproduction is the cause in less than 10 % .	Overproduction of uric acid is the cause in less than 10 % of all cases .
Chronic lead exposure and lead-contaminated alcohol are risk factors for gout due to the harmful effect of lead on kidney function .	Frequent lead exposure and lead-contaminated alcohol are risk factors for gout because lead harms the kidney function .
A body mass index greater than or equal to 35 increases a male 's risk of gout threefold .	Males have three times the chance of getting gout when the body mass index is greater than or equal to 35 .
NSAIDs are the usual first-line treatment for gout , and no specific agent is significantly more or less effective than any other .	NSAIDs are the most common treatment for gout .
Recent studies have found that other dietary factors once believed associated are , in fact , not , including the intake of purine-rich vegetables ( e.g. , beans , peas , lentils , and spinach ) and total protein .	Eating purine-rich vegetables ( e.g. , beans , peas , lentils , and spinach ) large amounts of protein do not contribute to developing gout .
Gastrointestinal upset , however , depends on the dose , and the risk can be decreased by using a smaller yet still effective dose .	The occurrence of gastrointestinal upset depends on the dose .
When levels are between 415 and 530 μmol \/ l ( 7 and 8.9 mg\/dl ) , the risk is 0.5 % per year , while in those with a level greater than 535 μmol \/ l ( 9 mg\/dL ) , the risk is 4.5 % per year .	When uric acid levels in the blood are between 415 and 530 μmol \/ L ( 7 and 8.9 mg\/dL ) , the chance of getting gout is 0.5 % per year .
Uricosuric medications are typically preferred if undersecretion of uric acid , as indicated by a 24-hour collection of urine results in a uric acid amount of less than 800 mg , is found .	Uricosuric drugs are preferred for treating gout if there is not enough uric acid in the urine defined by a 24-hour collection of urine with less than 800 mg of uric acid .
Elevated levels of uric acid may also lead to crystals precipitating in the kidneys , resulting in stone formation and subsequent urate nephropathy .	This causes stone formation followed by urate nephropathy .
The occurrence of gout is partly genetic , contributing to about 60 % of variability in uric acid level .	Inherited factors are about 60 % responsible for the variability in uric acid level .
Most ectopic pregnancies occur in the Fallopian tube ( so-called tubal pregnancies ) , but implantation can also occur in the cervix , ovaries , and abdomen .	Ectopic pregnancies are also called tubal pregnancies because they usually occur in a fallopian tube .
There is no inflammation of the tube in ectopic pregnancy .	There are two main ways to treat an ectopic pregnancy .
